zip,actualAmountPaid,numberOfProperties,numberOfFinalProperties,costSharePercentage,projectAmount,benefitCostRatio,netValueBenefits,propertyAction,damageCategory,structureType,cluster_label,count_property,pct_fs_risk_2020_5,pct_fs_risk_2050_5,pct_fs_risk_2020_100,pct_fs_risk_2050_100,pct_fs_risk_2020_500,pct_fs_risk_2050_500,total_population,pop_density,Log Flood Risk,Log Fire Risk,Quake Risk,Log Population Density
7035,2905009.0,12,300,0.75,3181999.0,1.8380000000000007,12587491.0,Acquisition/Demolition,0 - 49%,Single Family,19,4307,2.4,2.9,18.0,19.0,26.6,27.2,10487,601.3085671648827,-1.2130847974466932,0.997030456762464,0.421400158106508,1.0952569860366974
7039,17472.0,1,65,0.75,4114842.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,3,10797,0.3,0.4,5.1,5.3,7.3,7.7,29846,834.455689189496,1.8072347960895332,1.1449258551025594,0.26140811383821816,1.2299842327029438
7042,217905.0,2,35,0.75,2234118.5,1.1125,154335.0,Elevation,0 - 49%,Single Family,3,6771,0.1,0.1,4.8,4.9,6.7,6.9,26293,2715.4360762305,2.3282036781633844,1.2640270571481178,0.464165782385014,1.715164892788121
7043,212157.0,1,25,0.75,4011750.0,1.147,114670.0,Elevation,0 - 49%,Single Family,25,4156,0.0,0.1,3.5,3.6,4.5,4.6,12567,1872.8115510760285,3.090061709995576,1.4014846752395231,0.4626910546282725,1.5623971562839385
7045,1819358.0,16,256,0.75,2229747.8666666667,1.3831333333333333,121896.33333333333,Elevation,0 - 49%,Single Family,3,3927,1.4,1.8,5.9,6.0,7.4,7.8,10670,582.916259572228,1.0568725293331445,0.9239588196560048,0.40494808531214943,1.0824845986661362
7046,2033507.0,14,310,0.75,3738268.230769231,1.1416923076923078,120772.30769230769,Elevation,0 - 49%,Single Family,19,1674,1.6,1.6,7.5,7.8,10.2,10.6,4305,629.9794718884283,0.5750884921529286,1.029789675438168,0.3554795586373163,1.114408280575785
7047,266527.0,1,25,0.75,4011750.0,1.147,114670.0,Elevation,0 - 49%,Single Family,3,11679,0.2,0.4,4.3,4.7,7.6,8.4,61619,4581.410161899194,1.942124670528732,0.9012881814078924,0.5288895765690679,1.9302512027422118
7054,5787316.0,39,1870,0.75,7492621.0,1.9600000000000004,23391264.0,Elevation,50 - 99%,Single Family,3,7157,0.2,0.2,6.7,7.0,11.6,12.3,29144,820.1329237809083,1.3670659211158693,0.8534105066447115,0.3751182185217318,1.2228654841790747
7058,246350.0,2,4,0.75,252475.0,1.102,184420.0,Acquisition/Demolition,0 - 49%,Single Family,3,1391,0.8,1.0,6.6,7.0,13.1,14.1,5109,660.62855529108,0.6979822671986889,0.8162287556834373,0.4009855176493266,1.1339402448068323
7071,115625.0,1,9,0.75,3847403.0,2.1060000000000003,155025.0,Elevation,0 - 49%,Single Family,3,6033,0.2,0.3,5.5,11.3,19.5,20.1,22298,1890.7868362976126,0.7460766559728821,0.9439324771379818,0.3113568847636369,1.5663250632364718
7072,241898.0,4,40,0.75,456487.0,1.078,194000.0,Acquisition/Demolition,0 - 49%,Single Family,19,2383,1.6,1.8,9.2,10.7,16.0,16.5,6178,605.5177980871597,-0.05323228280220315,1.0667808442559774,0.5008599499030225,1.0981250987009132
